id,scenario,role,module,feature,steps,expected,status,comments
UAT-041,13-A,All Users,Notifications,View Notifications,"1. Login to system
2. Observe notification bell icon in header
3. Red badge shows unread count
4. Click notification bell
5. Dropdown shows:
   - Recent notifications (latest 10)
   - Notification type icon
   - Message text
   - Time ago
   - Read/unread indicator
6. Click 'View All' for full list
7. Click notification to:
   - Mark as read
   - Navigate to related item","1. Notifications displayed correctly
2. Count updates in real-time
3. Types include:
   - Approval requests
   - Approval results
   - RFQ invitations
   - PO sent
   - Invoice received
   - Payment completed
4. Click navigates to correct page
5. Mark as read works
6. Notifications persist until read
7. Old notifications can be archived",,
UAT-042,13-B,APPROVER,Approvals,View Approval Queue,"1. Login as approver
2. Navigate to /approvals
3. View pending approvals:
   - PRs awaiting approval
   - POs awaiting approval
   - Invoices awaiting approval
   - Service contracts awaiting approval
4. Filter by document type
5. Sort by date, amount, priority
6. Click on item to review
7. Approve or reject from list","1. All pending approvals for logged-in user shown
2. Grouped by document type
3. Shows key info:
   - Document number
   - Type
   - Amount
   - Requester
   - Date submitted
   - Priority
   - Approval level
4. Quick approve/reject buttons
5. Count of pending items
6. Highlighting for urgent items
7. Delegation option (if supported)",,
UAT-043,14-A (Stock Items),All Users,End-to-End Flow,Complete Stock Item Procurement Cycle,"1. Create Stock Item PR (/procurement/requisitions/new)
   - Select Item Type: STOCK
   - Add items from catalog
   - Enter quantities and specs
   - Submit for approval
2. Approve PR (/approvals)
   - Level 1: Department Manager approves
   - Level 2: Budget Controller approves
   - Status: APPROVED
3. Create RFQ (/procurement/rfq/new)
   - Link to PR
   - Select 3 vendors
   - Set closing date
   - Publish and send invitations
4. Vendors Submit Responses (external link)
   - 3 vendors submit quotes
5. Evaluate RFQ (/procurement/rfq/[id])
   - Score each response
   - Award to best vendor
6. Create PO (/procurement/purchase-orders/new)
   - Auto-populated from RFQ
   - Enter delivery details
   - Submit PO
7. Send PO to Vendor
   - Email sent with PO
8. Vendor Acknowledges PO (external link)
   - Status: ACKNOWLEDGED
9. Create GRN (/procurement/receipts/new)
   - Receive goods at warehouse
   - Inspect and accept
   - Update inventory
10. Create Invoice (/procurement/invoices/new)
    - Link to PO and GRN
    - Three-way match performed
    - Status: VERIFIED
11. Approve Invoice
    - Finance approves
    - Status: APPROVED
12. Process Payment (/procurement/payments)
    - Create payment record
    - Execute payment","1. Complete P2P cycle executed successfully
2. All statuses updated correctly:
   - PR: DRAFT → SUBMITTED → APPROVED
   - RFQ: DRAFT → PUBLISHED → EVALUATED → AWARDED
   - PO: DRAFT → APPROVED → SENT → ACKNOWLEDGED → COMPLETED
   - GRN: Created with accepted quantities
   - Invoice: PENDING → VERIFIED → APPROVED → PAID
   - Payment: COMPLETED
3. All documents linked correctly:
   - PR → RFQ → PO → GRN → Invoice → Payment
4. Budget tracked at each stage
5. Inventory updated at GRN
6. Vendor performance recorded
7. Approval history maintained
8. Notifications sent at each stage
9. Audit trail complete
10. Timeline reasonable:
    - PR to PO: 5-7 days
    - PO to GRN: 15-30 days
    - GRN to Payment: 30-60 days
    - Total cycle: 50-97 days",,
UAT-044,14-B (Services),All Users,End-to-End Flow,Complete Service Procurement Cycle,"1. Create Service Requisition (/procurement/services/requisitions/new)
   - Select Service Category
   - Define detailed scope of work
   - Add service items with specs
   - Define milestones with payment schedule
   - Submit for approval
2. Approve Service PR
   - Technical approval (if required)
   - Budget approval
   - Department approval
   - Status: APPROVED
3. Create RFP (/procurement/services/rfp/new)
   - Link to Service PR
   - Prepare detailed SoW
   - Select qualified vendors
   - Set submission deadline
   - Publish and send invitations
4. Vendors Submit Proposals (external)
   - Vendors submit technical and commercial proposals
5. Evaluate RFP (/procurement/services/rfp/[id])
   - Technical evaluation
   - Commercial evaluation
   - Combined scoring
   - Award to best vendor
6. Create Service Contract (/procurement/services/contracts/new)
   - Link to RFP winner
   - Define contract terms
   - Set SLA requirements
   - Define milestones
   - Insurance and bonds
   - Sign contract
7. Activate Contract
   - Status: ACTIVE
   - Service delivery begins
8. Track Service Performance
   - Monitor KPIs
   - Track SLA compliance
   - Record penalties/bonuses
9. Complete Milestone
   - Vendor completes deliverables
   - Create SRN (/procurement/services/receipts/new)
   - Rate quality and performance
   - Accept milestone
10. Create Service Invoice (/procurement/invoices/new)
    - Link to SRN and milestone
    - Calculate payment (with retention)
    - Submit for approval
11. Approve Invoice
    - Finance approves
12. Process Milestone Payment
    - Create payment
    - Execute payment
13. Repeat steps 9-12 for each milestone
14. Complete Contract
    - All milestones completed
    - Final performance evaluation
    - Release retention
    - Close contract","1. Complete service P2P cycle executed
2. Service workflow different from stock:
   - RFP instead of RFQ
   - Contract instead of PO
   - SRN instead of GRN
   - Milestone payments instead of lumpsum
3. All statuses tracked:
   - Service PR: DRAFT → SUBMITTED → APPROVED
   - RFP: DRAFT → PUBLISHED → EVALUATED → AWARDED
   - Contract: DRAFT → APPROVED → SIGNED → ACTIVE → COMPLETED
   - SRN: PENDING → ACCEPTED
   - Invoice: Per milestone
   - Payments: Multiple milestone payments
4. Performance tracking throughout:
   - Quality ratings per milestone
   - SLA compliance monitoring
   - Penalty/bonus calculations
5. Retention management:
   - Retention held per payment
   - Released at contract completion
6. Timeline reasonable:
   - Service PR to Contract: 10-15 days
   - Contract duration: 30-365 days
   - Milestone frequency: per contract
   - Payment per milestone: 30-45 days
7. No inventory impact
8. Vendor performance heavily tracked",,
UAT-045,15-A,PROCUREMENT_MANAGER,Vendor Management,Blacklist Vendor,"1. Navigate to /procurement/services/vendors
2. Find vendor with poor performance
3. Click on vendor details
4. Review performance history:
   - Evaluation scores
   - Delivery issues
   - Quality problems
   - Contract breaches
5. Click 'Blacklist Vendor' button
6. Enter blacklist reason (mandatory)
7. Set blacklist duration or permanent
8. Confirm blacklisting","1. Vendor status changed to: BLACKLISTED
2. Vendor cannot receive new RFQs/RFPs
3. Active contracts remain valid
4. New PRs cannot select blacklisted vendor
5. Blacklist reason recorded
6. Can be reversed by ADMIN
7. Vendor receives notification (optional)",,
UAT-046,15-B,All Users,Search and Filter,Global Search,"1. Use search functionality across modules:
   - PR search by number, status, department
   - PO search by number, vendor, status
   - Invoice search by number, vendor, status
   - Vendor search by name, code, category
2. Use advanced filters:
   - Date ranges
   - Status combinations
   - Amount ranges
   - Multiple criteria
3. Sort results
4. Export filtered results","1. Search returns accurate results
2. Instant search on typing
3. Filters work correctly
4. Multiple filters combine with AND logic
5. Sort works on all columns
6. Export includes only filtered data
7. Performance good even with large datasets",,
UAT-047,16-A,PROCUREMENT_MANAGER,Consultation,Request Consultation,"1. During approval workflow
2. Click 'Request Consultation' on document
3. Select users to consult (CONSULTED role)
4. Enter consultation question
5. Set response deadline
6. Send consultation request","1. Consultation request created
2. Selected users receive notification
3. Request appears in their consultation queue
4. Approval paused until responses received
5. Can proceed after consulting",,
UAT-048,16-B,CONSULTED User,Consultation,Respond to Consultation,"1. Receive consultation notification
2. Navigate to /consultations
3. View pending consultations
4. Click on consultation request
5. Review document details
6. Enter consultation response/recommendation
7. Submit response","1. Response recorded
2. Requester receives notification
3. Response visible in consultation history
4. If all responses received: approval can proceed
5. Consultation marked as completed",,
UAT-049,17-A,All Users,Dynamic Dashboard,View Metabase Dashboard,"1. Navigate to /procurement/dynamic-dashboard
2. Wait for embedded Metabase dashboard to load
3. View live analytics:
   - Interactive charts
   - Real-time data
   - Custom visualizations
4. Filter data using Metabase controls
5. Drill down into charts
6. Export from Metabase","1. Dashboard loads successfully
2. Data synchronized with procurement system
3. Charts interactive and responsive
4. Filters work correctly
5. Real-time data updates
6. Export functionality works
7. Performance acceptable (<5 sec load)",,
UAT-050,18-A,PROCUREMENT_OFFICER,Purchase Order,Amend Purchase Order,"1. Navigate to /procurement/purchase-orders
2. Find ACKNOWLEDGED PO
3. Click on PO details
4. Click 'Create Amendment' button
5. Modify:
   - Quantities
   - Prices
   - Delivery dates
   - Terms and conditions
6. Enter amendment reason
7. Submit amendment","1. PO Amendment created
2. Amendment number generated
3. Original PO retained (history)
4. Vendor receives amendment notification
5. Vendor must acknowledge amendment
6. Amendment history maintained
7. Linked to original PO",,
UAT-051,19-A,All Users,Audit Trail,View Audit Logs,"1. Navigate to any document details page
2. Find 'History' or 'Audit Trail' tab
3. View complete audit log:
   - All actions performed
   - User who performed action
   - Timestamp
   - Before/after values (if applicable)
   - IP address (if tracked)
   - Comments
4. Filter audit log by:
   - Action type
   - User
   - Date range
5. Export audit trail","1. Complete audit trail displayed
2. Actions include:
   - Created
   - Updated
   - Submitted
   - Approved
   - Rejected
   - Sent
   - Acknowledged
   - Amended
   - Etc.
3. Chronological order
4. Immutable records
5. Detailed information
6. Export to Excel/PDF
7. Meets compliance requirements",,
UAT-052,20-A,WAREHOUSE_KEEPER,Inventory Management,View Inventory Levels,"1. Navigate to inventory section (if available)
2. Or view from dashboard
3. See stock levels for all items:
   - Current quantity
   - Unit of measure
   - Reorder point
   - Min/max levels
   - Storage location
4. Filter by category
5. Search by item code/name
6. Identify low stock items (below reorder point)","1. Accurate inventory levels displayed
2. Updated after each GRN
3. Low stock items highlighted
4. Reorder alerts triggered
5. Can generate reorder PRs
6. Stock movement history available",,
UAT-053,21-A,PROCUREMENT_OFFICER,Document Management,Upload and Manage Documents,"1. Navigate to any document (PR, PO, Invoice, etc.)
2. Go to 'Attachments' or 'Documents' section
3. Click 'Upload Document'
4. Select file (PDF, DOC, XLS, IMG)
5. Add document description
6. Set document type
7. Upload
8. View uploaded documents
9. Download documents
10. Delete documents (if authorized)","1. Document uploaded successfully
2. File stored securely
3. Document linked to parent record
4. Metadata saved (name, type, date, uploader)
5. Download works correctly
6. Preview available (for supported types)
7. Access controlled by permissions
8. File size limits enforced
9. Virus scanning (if configured)",,
UAT-054,22-A,FINANCE_MANAGER,Payment Management,Create Payment Batch,"1. Navigate to /procurement/payments
2. Click 'Create Payment Batch'
3. Select multiple approved invoices
4. Review total payment amount
5. Set batch payment date
6. Enter batch reference
7. Select payment method
8. Review summary
9. Submit batch","1. Payment batch created
2. All invoices linked to batch
3. Batch total calculated
4. If requires approval: submit for approval
5. If auto-approved: ready for execution
6. Can generate batch file for bank
7. Track batch status",,
UAT-055,23-A,All Users,Security,Password Policy Enforcement,"1. Attempt to set weak password
2. System validates:
   - Minimum 8 characters
   - At least 1 uppercase
   - At least 1 lowercase
   - At least 1 number
   - At least 1 special character
3. Cannot reuse last 5 passwords
4. Password expires after 90 days
5. Must change password on first login","1. Weak passwords rejected
2. Strong password requirements enforced
3. Password history checked
4. Expiry enforced
5. Users prompted to change expired passwords
6. Cannot bypass requirements",,
UAT-056,24-A,All Users,Error Handling,System Error Handling,"1. Perform various actions
2. Simulate errors:
   - Network interruption
   - Server error
   - Invalid data
   - Concurrent updates
3. Observe error handling","1. Friendly error messages displayed
2. Technical details hidden from users
3. Errors logged for troubleshooting
4. User can retry or cancel
5. No data corruption
6. Session maintained if possible
7. User guided to resolution",,
UAT-057,25-A,PROCUREMENT_OFFICER,RFP Management,Create RFP for Services,"1. Navigate to /procurement/services/rfp
2. Click 'New RFP'
3. Link to approved Service PR
4. Fill RFP Details:
   - Title
   - Description
   - Scope of Work (detailed)
   - Technical Requirements
   - Submission Deadline
   - Evaluation Criteria
   - Terms and Conditions
5. Add Documents:
   - SoW document
   - Specification sheets
   - Contract template
6. Select Vendors
7. Submit RFP","1. RFP created with unique number
2. Status: DRAFT
3. All documents attached
4. Can publish when ready
5. Linked to Service PR",,
UAT-058,25-B,PROCUREMENT_MANAGER,RFP Management,Publish RFP,"1. Navigate to draft RFP
2. Review all details
3. Click 'Publish RFP'
4. Confirm publication
5. Send invitations to vendors","1. RFP status: DRAFT → PUBLISHED
2. Vendor invitations sent via email
3. Vendors receive:
   - RFP details
   - SoW documents
   - Submission link
   - Deadline
4. Cannot edit after publishing",,
UAT-059,25-C,VENDOR (External),RFP Management,Submit RFP Proposal,"1. Receive RFP invitation
2. Click submission link
3. Review RFP requirements
4. Upload Technical Proposal
5. Upload Commercial Proposal
6. Upload Company Documents
7. Fill in proposal form:
   - Total Cost
   - Delivery Timeline
   - Key Personnel
   - Technical Approach
   - References
8. Review and submit","1. Proposal submitted successfully
2. Confirmation email sent
3. Timestamp recorded
4. Cannot edit after submission
5. Procurement can view proposal",,
UAT-060,25-D,PROCUREMENT_MANAGER,RFP Management,Evaluate RFP Proposals,"1. Navigate to published RFP
2. After deadline, view all proposals
3. For each proposal:
   - Review technical proposal
   - Review commercial proposal
   - Score on criteria
   - Add evaluation notes
4. Compare proposals
5. Select winner
6. Award RFP","1. All proposals evaluated
2. Scores recorded
3. Winner selected
4. Notifications sent
5. Can create contract from winner",,
UAT-061,26-A,PROJECT_MANAGER,Service Performance,Track Service Performance,"1. Navigate to active service contract
2. Go to 'Performance' tab
3. View performance metrics:
   - Quality Score (by milestone)
   - Timeliness Score
   - SLA Compliance
   - Overall Performance
4. Add performance evaluation:
   - Evaluation Period
   - Scores for each criterion
   - KPI Metrics
   - SLA Compliance data
   - Penalties (if any)
   - Bonuses (if any)
   - Comments
5. Submit evaluation","1. Performance record created
2. Scores calculated and stored
3. Penalties/bonuses tracked
4. Vendor performance history updated
5. Affects future vendor selection
6. Can generate performance reports",,
UAT-062,27-A,All Users,System Performance,Load Time and Responsiveness,"1. Navigate to various pages
2. Measure load times
3. Perform bulk operations
4. Test with multiple users
5. Test with large datasets","1. Page load < 3 seconds
2. API responses < 1 second
3. Search results instant
4. No lag in UI interactions
5. Handles 50+ concurrent users
6. Large reports generate within 30 seconds
7. No crashes or freezes",,
UAT-063,28-A,All Users,Mobile Responsiveness,Mobile Device Testing,"1. Access system on mobile device (phone, tablet)
2. Test all major functions:
   - Login
   - View dashboards
   - View lists
   - View details
   - Approve items
3. Test different screen sizes
4. Test different browsers","1. Responsive design works correctly
2. All elements visible and usable
3. Touch interactions work
4. No horizontal scrolling
5. Buttons and links easily tappable
6. Forms usable on mobile
7. Critical functions accessible",,
UAT-064,29-A,PROCUREMENT_OFFICER,Data Import,Bulk Import PRs,"1. Navigate to PRs page
2. Click 'Import' or 'Bulk Upload'
3. Download template
4. Fill template with PR data:
   - Multiple PRs
   - Multiple items per PR
5. Upload filled template
6. Review import preview
7. Confirm import","1. Template downloads correctly
2. Template has proper format
3. Upload validates data
4. Errors reported clearly
5. Valid records imported
6. Invalid records rejected with reasons
7. Import summary displayed
8. Imported PRs visible in list",,
UAT-065,30-A,All Users,Data Export,Export Reports to Excel,"1. Navigate to any list page (PRs, POs, Invoices, etc.)
2. Apply filters (optional)
3. Click 'Export to Excel' or 'Download CSV'
4. Wait for download
5. Open exported file","1. File downloads successfully
2. All visible columns included
3. Filters applied to export
4. Data formatted correctly
5. Dates in proper format
6. Numbers not corrupted
7. File opens in Excel without errors
8. All rows included (no limit for small datasets)",,
UAT-066,31-A,All Users,Notifications,Email Notifications,"1. Perform actions that trigger emails:
   - Submit PR (notify approvers)
   - Approve PR (notify requester)
   - Send RFQ (notify vendors)
   - Send PO (notify vendor)
   - Vendor acknowledges PO (notify procurement)
2. Check email inbox
3. Review email content","1. Emails delivered promptly (within 5 min)
2. Email content accurate and complete
3. Professional formatting
4. Contains relevant links
5. Includes necessary details
6. From address recognizable
7. Subject line clear
8. No spam folder issues",,
UAT-067,32-A,SUPER_ADMIN,System Configuration,Manage Approval Rules,"1. Access approval rules configuration (DB or admin panel)
2. View existing approval rules
3. Create new approval rule:
   - Document Type (PR, PO, Invoice)
   - Conditions (amount range, department)
   - Approval Levels
   - Approver Roles per level
   - RACI assignments
   - Timeout settings
4. Test approval routing with new rule
5. Modify existing rule
6. Deactivate rule","1. Approval rules configurable
2. New rules applied immediately
3. Routing works as defined
4. Multiple rules can exist
5. Priority determines rule selection
6. Can test rules without affecting production
7. Changes logged in audit",,
UAT-068,33-A,WAREHOUSE_KEEPER,Goods Receipt,Partial Goods Receipt,"1. Create GRN
2. Select PO with multiple items
3. Enter received quantities:
   - Item 1: Full quantity
   - Item 2: Partial quantity
   - Item 3: Zero (not received yet)
4. Submit GRN","1. GRN created with partial receipt
2. PO status: PARTIAL
3. Inventory updated for received items only
4. Remaining items still tracked on PO
5. Can create additional GRN later for remaining items
6. PO status updates to COMPLETED when all received",,
UAT-069,34-A,WAREHOUSE_KEEPER,Goods Receipt,Reject Goods,"1. Create GRN
2. Inspect items
3. Identify quality issues
4. Enter:
   - Received Quantity: 100
   - Accepted Quantity: 90
   - Rejected Quantity: 10
   - Rejection Reason: 'Damaged packaging'
5. Upload photos of damage
6. Submit GRN","1. GRN created with rejections
2. Only accepted quantity updates inventory
3. Rejected quantity documented
4. Procurement notified of rejection
5. Can initiate return process
6. Vendor debited for rejected items",,
UAT-070,35-A,PROCUREMENT_OFFICER,Purchase Order,Cancel Purchase Order,"1. Navigate to PO (not yet acknowledged)
2. Click 'Cancel PO' button
3. Enter cancellation reason
4. Confirm cancellation","1. PO status: CANCELLED
2. Cancellation reason recorded
3. Vendor notified (if PO was sent)
4. Cannot create GRN for cancelled PO
5. Cannot create invoice for cancelled PO
6. Linked PR can be re-used for new PO",,
UAT-071,36-A,PROCUREMENT_OFFICER,Invoice Management,Invoice with Discrepancy Resolution,"1. Create invoice with discrepancies
2. Three-way match shows DISCREPANCY
3. Contact vendor about discrepancies
4. Vendor issues credit note
5. Update invoice:
   - Adjust quantities/prices
   - Reference credit note
   - Add resolution notes
6. Re-run three-way match
7. Submit for approval","1. Discrepancies documented
2. Resolution process tracked
3. Updated match shows MATCHED
4. Invoice approved after resolution
5. Credit note linked to invoice
6. Full audit trail of resolution",,
UAT-072,37-A,All Users,Service Contract,Service Contract Milestones,"1. View active service contract
2. Go to 'Milestones' tab
3. View all milestones:
   - Number, Name, Description
   - Target Date
   - Completion Criteria
   - Payment Percentage
   - Amount
   - Status (PENDING, IN_PROGRESS, COMPLETED, OVERDUE)
4. Track milestone progress
5. Mark milestone IN_PROGRESS
6. Complete milestone (via SRN)
7. View milestone payment history","1. All milestones visible
2. Status tracked accurately
3. Overdue milestones highlighted
4. Progress visualization (progress bar)
5. Payment amounts calculated correctly
6. Total milestone payments = Contract value
7. Cannot complete milestone without SRN",,
UAT-073,38-A,PROCUREMENT_MANAGER,Vendor Management,Vendor Categories and Classification,"1. Navigate to vendor registration
2. Select multiple categories for vendor:
   - Primary category (only one)
   - Secondary categories (multiple)
3. Categories include:
   - Construction Materials
   - Equipment Rental
   - Professional Services
   - IT Services
   - Maintenance
   - Etc.
4. Save vendor with categories
5. Filter vendors by category
6. View vendor categories in details","1. Vendor can have multiple categories
2. Primary category clearly marked
3. Categories affect RFQ/RFP invitations
4. Filters work by category
5. Can update categories later
6. Category-based vendor selection in PRs",,
